epoch,step,test_loss,test_r2,train_loss,train_r2_epoch,train_r2_step,valid_loss,valid_r2
0,49,,,,,0.17080086469650269,,
0,66,,,,,,0.6615715622901917,0.37213629484176636
0,66,,,0.5928589701652527,0.37888941168785095,,,
1,99,,,,,0.40662944316864014,,
1,133,,,,,,0.618362307548523,0.413144052028656
1,133,,,0.5121226906776428,0.4623854160308838,,,
2,149,,,,,0.4265487790107727,,
2,199,,,,,0.5162550210952759,,
2,200,,,,,,0.596700131893158,0.4337024688720703
2,200,,,0.49317115545272827,0.4818664491176605,,,
3,249,,,,,0.2991447448730469,,
3,267,,,,,,0.5871412754058838,0.44277429580688477
3,267,,,0.4767802655696869,0.4964737296104431,,,
4,299,,,,,0.5941066741943359,,
4,334,,,,,,0.5807587504386902,0.44883161783218384
4,334,,,0.4542502462863922,0.5215674042701721,,,
5,349,,,,,0.4512249231338501,,
5,399,,,,,0.5357909202575684,,
5,401,,,,,,0.5764999389648438,0.4528734087944031
5,401,,,0.4576214849948883,0.5152527093887329,,,
6,449,,,,,0.5403470993041992,,
6,468,,,,,,0.5721179842948914,0.45703208446502686
6,468,,,0.45039448142051697,0.5268678665161133,,,
7,499,,,,,0.3677716851234436,,
7,535,,,,,,0.5683424472808838,0.460615336894989
7,535,,,0.4448550045490265,0.5300987362861633,,,
8,549,,,,,0.6290926933288574,,
8,599,,,,,0.5798758268356323,,
8,602,,,,,,0.565979540348053,0.46285778284072876
8,602,,,0.4427759647369385,0.5296801328659058,,,
9,649,,,,,0.5541597604751587,,
9,669,,,,,,0.5652647614479065,0.46353620290756226
9,669,,,0.44458818435668945,0.5317267179489136,,,
10,699,,,,,0.6106538772583008,,
10,736,,,,,,0.5645855069160461,0.4641808271408081
10,736,,,0.4292803108692169,0.55123370885849,,,
11,749,,,,,0.5561010241508484,,
11,799,,,,,0.6200405955314636,,
11,803,,,,,,0.5642630457878113,0.46448683738708496
11,803,,,0.4437894821166992,0.535629153251648,,,
12,849,,,,,0.48179078102111816,,
12,870,,,,,,0.5632513761520386,0.46544694900512695
12,870,,,0.43578818440437317,0.5426914691925049,,,
13,899,,,,,0.5493003129959106,,
13,937,,,,,,0.5627108216285706,0.46595996618270874
13,937,,,0.43012723326683044,0.5434627532958984,,,
14,949,,,,,0.625590443611145,,
14,999,,,,,0.6094222068786621,,
14,1004,,,,,,0.5644344687461853,0.46432411670684814
14,1004,,,0.4377128481864929,0.539066731929779,,,
15,1049,,,,,0.4446888566017151,,
15,1071,,,,,,0.5621480941772461,0.46649402379989624
15,1071,,,0.4337988793849945,0.5440817475318909,,,
16,1099,,,,,0.4055716395378113,,
16,1138,,,,,,0.5638137459754944,0.4649132490158081
16,1138,,,0.43305596709251404,0.5453150868415833,,,
17,1149,,,,,0.5990813374519348,,
17,1199,,,,,0.5999457836151123,,
17,1205,,,,,,0.5636817812919617,0.4650384783744812
17,1205,,,0.4272380769252777,0.5497292280197144,,,
18,1249,,,,,0.6962316036224365,,
18,1272,,,,,,0.5642051100730896,0.46454185247421265
18,1272,,,0.42629340291023254,0.5471930503845215,,,
19,1299,,,,,0.5050331950187683,,
19,1339,,,,,,0.560295045375824,0.4682527184486389
19,1339,,,0.44254833459854126,0.5312476754188538,,,
20,1340,0.560295045375824,0.4682527184486389,,,,,
