epoch,step,test_loss,test_r2,train_loss,train_r2_epoch,train_r2_step,valid_loss,valid_r2
0,49,,,,,0.3977924585342407,,
0,66,,,,,,0.7044127583503723,0.33147794008255005
0,66,,,0.6528093814849854,0.3109954297542572,,,
1,99,,,,,0.6061370372772217,,
1,133,,,,,,0.6851714253425598,0.3497388958930969
1,133,,,0.5003756284713745,0.47161105275154114,,,
2,149,,,,,0.5205689668655396,,
2,199,,,,,0.5191628336906433,,
2,200,,,,,,0.6646525263786316,0.3692123293876648
2,200,,,0.48083558678627014,0.4944363832473755,,,
3,249,,,,,0.5555465221405029,,
3,267,,,,,,0.6587676405906677,0.37479734420776367
3,267,,,0.4684390425682068,0.5124028325080872,,,
4,299,,,,,0.48884159326553345,,
4,334,,,,,,0.6493895053863525,0.3836976885795593
4,334,,,0.46050000190734863,0.5138432383537292,,,
5,349,,,,,0.4358428716659546,,
5,399,,,,,0.5450091361999512,,
5,401,,,,,,0.6450936794281006,0.38777464628219604
5,401,,,0.46196556091308594,0.5128293037414551,,,
6,449,,,,,0.5501489639282227,,
6,468,,,,,,0.6426020264625549,0.3901393413543701
6,468,,,0.45220014452934265,0.5226582884788513,,,
7,499,,,,,0.5560998916625977,,
7,535,,,,,,0.6421445608139038,0.39057350158691406
7,535,,,0.4528888165950775,0.529184103012085,,,
8,549,,,,,0.28673678636550903,,
8,599,,,,,0.5326694846153259,,
8,602,,,,,,0.6398683190345764,0.3927338123321533
8,602,,,0.45344358682632446,0.5227490067481995,,,
9,649,,,,,0.4420519471168518,,
9,669,,,,,,0.6393836140632629,0.3931938409805298
9,669,,,0.4472939968109131,0.52836674451828,,,
10,699,,,,,0.48411136865615845,,
10,736,,,,,,0.6378506422042847,0.39464861154556274
10,736,,,0.44433465600013733,0.535774827003479,,,
11,749,,,,,0.6235347390174866,,
11,799,,,,,0.5281316041946411,,
11,803,,,,,,0.6335518956184387,0.39872831106185913
11,803,,,0.4404546916484833,0.5379104018211365,,,
12,849,,,,,0.4072619080543518,,
12,870,,,,,,0.6322234272956848,0.39998918771743774
12,870,,,0.4414833188056946,0.5302358269691467,,,
13,899,,,,,0.5135409832000732,,
13,937,,,,,,0.6351064443588257,0.39725297689437866
13,937,,,0.4446970820426941,0.529587984085083,,,
14,949,,,,,0.502150297164917,,
14,999,,,,,0.555016040802002,,
14,1004,,,,,,0.6318534016609192,0.40034037828445435
14,1004,,,0.4417085647583008,0.5365179181098938,,,
15,1049,,,,,0.5417979955673218,,
